Day,Category,Product,Sales
1,B,B1,990.0
2,B,B1,980.0
3,B,B1,1010.0
4,B,B1,1010.0
5,B,B1,1000.0
6,B,B1,1000.0
7,B,B1,1717.0
8,B,B1,1020.0
9,B,B1,970.0
10,B,B1,1000.0
11,B,B1,1020.0
12,B,B1,1000.0
13,B,B1,1000.0
14,B,B1,970.0
15,B,B1,1700.0
16,B,B1,980.0
17,B,B1,980.0
18,B,B1,970.0
19,B,B1,980.0
20,B,B1,970.0
21,B,B1,980.0
22,B,B1,980.0
23,B,B1,990.0
24,B,B1,970.0
25,B,B1,1020.0
26,B,B1,1734.0
27,B,B1,970.0
28,B,B1,990.0
29,B,B1,980.0
30,B,B1,990.0
31,B,B1,1000.0
32,B,B1,970.0
33,B,B1,980.0
34,B,B1,990.0
35,B,B1,980.0
36,B,B1,990.0
37,B,B1,1010.0
38,B,B1,1010.0
39,B,B1,1000.0
40,B,B1,1649.0
41,B,B1,1010.0
42,B,B1,990.0
43,B,B1,1010.0
44,B,B1,1010.0
45,B,B1,1550.0
46,B,B1,990.0
47,B,B1,1000.0
48,B,B1,990.0
49,B,B1,1020.0
50,B,B1,1010.0
51,B,B1,1000.0
52,B,B1,990.0
53,B,B1,980.0
54,B,B1,1650.0
55,B,B1,990.0
56,B,B1,1000.0
57,B,B1,1010.0
58,B,B1,1010.0
59,B,B1,1000.0
60,B,B1,980.0
61,B,B1,1555.0
62,B,B1,970.0
63,B,B1,1000.0
64,B,B1,1020.0
65,B,B1,1000.0
66,B,B1,990.0
67,B,B1,1000.0
68,B,B1,1560.0
69,B,B1,990.0
70,B,B1,970.0
71,B,B1,980.0
72,B,B1,1000.0
73,B,B1,1000.0
74,B,B1,990.0
75,B,B1,970.0
76,B,B1,990.0
77,B,B1,1545.0
78,B,B1,990.0
79,B,B1,1020.0
80,B,B1,1020.0
81,B,B1,1020.0
82,B,B1,990.0
83,B,B1,1020.0
84,B,B1,980.0
85,B,B1,980.0
86,B,B1,1010.0
87,B,B1,1020.0
88,B,B1,1455.0
89,B,B1,1010.0
90,B,B1,990.0
